Metric,Value
Accuracy,0.5928338762214984
Macro Precision,0.5805818589340035
Macro Recall,0.575686590425644
Macro F1,0.5768853431469748
Weighted Precision,0.5896619599722782
Weighted Recall,0.5928338762214984
Weighted F1,0.5902385445510201
Avg AUC,0.8306511981039346
