Metric,Value
Accuracy,0.5895765472312704
Macro Precision,0.5861063696850053
Macro Recall,0.5851395163328489
Macro F1,0.5823100982691672
Weighted Precision,0.5969406261631327
Weighted Recall,0.5895765472312704
Weighted F1,0.5896992747365324
Avg AUC,0.8111148448259984
