Metric,Value
Accuracy,0.5928338762214984
Macro Precision,0.5819518414567361
Macro Recall,0.5797312345991028
Macro F1,0.5795660706414266
Weighted Precision,0.5915051767627216
Weighted Recall,0.5928338762214984
Weighted F1,0.590829913111152
Avg AUC,0.8018973888276089
