Feature,Importance
Borrowings,0.19968324700177936
Deposits,0.09722069796712424
Equity,0.08929239119708327
Investment,0.08482838912960924
Assets,0.07264368362598783
Net-interest Income,0.07251353523971937
Performing Loans,0.07129963337941415
NPAs (Previous Period),0.06708305143154833
Net Income,0.0646447660802784
Employee Expense,0.06323253359971069
NPAs,0.061290237270898065
Non-interest Income,0.05626783407684697
