Metric,Value
Accuracy,0.6156351791530945
Macro Precision,0.6232747922243759
Macro Recall,0.6007354915650471
Macro F1,0.6087050567479546
Weighted Precision,0.6192467910346593
Weighted Recall,0.6156351791530945
Weighted F1,0.614866182888684
Avg AUC,0.8435802259582051
