Feature,Importance
Borrowings,0.1890018597992444
Investment,0.08901505673154819
Equity,0.08673257027400744
Deposits,0.08664286082916037
Net Income,0.07738967670984168
Net-interest Income,0.07368864496713208
NPAs (Previous Period),0.07343018166425762
NPAs,0.07096735566144984
Assets,0.0661891182034014
Performing Loans,0.0640734045375611
Non-interest Income,0.06159161085997575
Employee Expense,0.0612776597624201
