Metric,Value
Accuracy,0.6026058631921825
Macro Precision,0.6006313131313132
Macro Recall,0.592234591204903
Macro F1,0.5956339359565166
Weighted Precision,0.6027193761721449
Weighted Recall,0.6026058631921825
Weighted F1,0.6019660980678108
Avg AUC,0.844608162155218
