Feature,Importance
Borrowings,23.61130333042925
NPAs (Previous Period),10.663158338818695
Investment,10.621437214006114
Equity,9.398077942599645
NPAs,8.64552662498329
Deposits,7.770874791166615
Non-interest Income,7.548517688826888
Net Income,5.991222157556186
Employee Expense,4.606192912805444
Performing Loans,4.549604370742872
Net-interest Income,3.6907664560460747
Assets,2.903318172018921
