Metric,Value
Accuracy,0.6449511400651465
Macro Precision,0.6374168795345968
Macro Recall,0.6334724679345423
Macro F1,0.6352503826133438
Weighted Precision,0.644133728542166
Weighted Recall,0.6449511400651465
Weighted F1,0.6443375813751234
Avg AUC,0.8549040591331865
