Feature,Importance
Borrowings,0.21531275704103103
Deposits,0.09503356615535986
Investment,0.090084567523161
Equity,0.08968208750673216
Assets,0.07263801763522883
Performing Loans,0.07238646566487668
Net-interest Income,0.07012604922010714
Employee Expense,0.0654791456146404
Net Income,0.06298622826101376
Lagged NPAs,0.06050142394876934
NPAs,0.058318101505979617
Non-interest Income,0.04745158992309998
