Metric,Value
Accuracy,0.5895765472312704
Macro Precision,0.6332633053221288
Macro Recall,0.5689042064194099
Macro F1,0.5812449506958729
Weighted Precision,0.6159070794441555
Weighted Recall,0.5895765472312704
Weighted F1,0.588575080333009
Avg AUC,0.8338324525042492
