iter	Passed	Remaining
432	1603	2380
433	1606	2375
434	1610	2373
435	1615	2370
436	1619	2367
437	1623	2365
438	1628	2362
439	1631	2358
440	1635	2354
441	1639	2351
442	1643	2348
443	1647	2345
444	1651	2341
445	1654	2337
446	1659	2334
447	1663	2331
448	1666	2327
449	1670	2323
450	1674	2320
451	1678	2316
452	1682	2313
453	1686	2310
454	1691	2308
455	1695	2304
456	1698	2300
457	1702	2296
458	1706	2294
459	1710	2290
460	1714	2286
461	1717	2282
462	1722	2280
463	1725	2276
464	1729	2272
465	1733	2268
466	1737	2265
467	1740	2261
468	1744	2257
469	1748	2254
470	1752	2251
471	1756	2248
472	1759	2243
473	1763	2239
474	1767	2236
475	1772	2233
476	1776	2230
477	1779	2226
478	1784	2223
479	1788	2220
480	1791	2216
481	1795	2212
482	1798	2208
483	1803	2205
484	1807	2202
485	1810	2197
486	1814	2194
487	1818	2191
488	1822	2187
489	1825	2183
490	1829	2179
491	1833	2176
492	1838	2174
493	1842	2171
494	1846	2167
495	1851	2164
496	1855	2161
497	1859	2157
498	1864	2155
499	1868	2152
500	1872	2149
501	1876	2146
502	1882	2144
503	1887	2141
504	1891	2139
505	1897	2137
506	1901	2134
507	1905	2130
508	1909	2127
509	1914	2124
510	1917	2120
511	1921	2116
512	1925	2113
513	1929	2110
514	1934	2107
515	1938	2103
516	1942	2100
517	1946	2097
518	1950	2093
519	1953	2089
520	1958	2086
521	1962	2082
522	1966	2079
523	1970	2075
524	1975	2073
525	1978	2069
526	1982	2065
527	1986	2061
528	1990	2057
529	1995	2055
530	1999	2052
531	2003	2048
532	2009	2046
533	2013	2043
534	2017	2039
535	2020	2035
536	2024	2032
537	2028	2028
538	2031	2024
539	2035	2020
540	2039	2016
541	2042	2012
542	2046	2008
543	2049	2004
544	2053	2000
545	2057	1996
546	2060	1992
547	2063	1988
548	2067	1984
549	2072	1981
550	2076	1978
551	2079	1974
552	2083	1970
553	2087	1967
554	2092	1964
555	2095	1960
556	2099	1955
557	2103	1952
558	2106	1948
559	2109	1944
560	2113	1940
561	2117	1937
562	2121	1932
563	2124	1928
564	2128	1924
565	2131	1920
566	2135	1917
567	2139	1913
568	2143	1909
569	2147	1906
570	2151	1903
571	2155	1899
572	2159	1895
573	2162	1891
574	2166	1888
575	2170	1884
576	2174	1880
577	2177	1876
578	2181	1872
579	2185	1869
580	2189	1865
581	2193	1861
582	2198	1859
583	2202	1855
584	2205	1851
585	2210	1848
586	2215	1845
587	2219	1842
588	2223	1838
589	2226	1834
590	2230	1830
591	2233	1826
592	2237	1822
593	2240	1818
594	2245	1815
595	2248	1811
596	2252	1807
597	2255	1803
598	2260	1800
599	2265	1797
600	2269	1793
601	2274	1790
602	2279	1787
603	2283	1784
604	2287	1780
605	2291	1776
606	2295	1773
607	2299	1769
608	2302	1765
609	2306	1761
610	2310	1758
611	2314	1754
612	2317	1750
613	2321	1746
614	2325	1743
615	2328	1739
616	2332	1734
617	2335	1731
618	2339	1727
619	2343	1723
620	2347	1720
621	2351	1716
622	2355	1712
623	2359	1708
624	2363	1705
625	2367	1701
626	2373	1699
627	2378	1696
628	2382	1693
629	2386	1689
630	2390	1685
631	2393	1681
632	2397	1678
633	2401	1674
634	2405	1670
635	2411	1668
636	2415	1664
637	2418	1660
638	2422	1656
639	2426	1652
640	2429	1648
641	2433	1645
642	2438	1642
643	2442	1638
644	2445	1634
645	2449	1630
646	2454	1627
647	2457	1623
648	2461	1619
649	2465	1615
650	2469	1612
651	2472	1608
652	2476	1604
653	2480	1600
654	2484	1596
655	2488	1593
656	2491	1588
657	2495	1585
658	2500	1582
659	2504	1578
660	2507	1574
661	2511	1570
662	2516	1567
663	2520	1563
664	2524	1560
665	2527	1556
666	2533	1553
667	2537	1549
668	2541	1546
669	2544	1542
670	2549	1538
671	2552	1534
672	2556	1530
673	2560	1526
674	2564	1523
675	2567	1519
676	2571	1515
677	2574	1511
678	2579	1508
679	2583	1504
680	2586	1500
681	2590	1496
682	2594	1492
683	2598	1489
684	2601	1485
685	2605	1481
686	2609	1477
687	2613	1473
688	2617	1470
689	2621	1466
690	2626	1463
691	2630	1459
692	2633	1455
693	2636	1451
694	2641	1448
695	2647	1445
696	2650	1441
697	2655	1437
698	2659	1434
699	2664	1431
700	2668	1427
701	2671	1423
702	2675	1419
703	2679	1415
704	2683	1411
705	2686	1407
706	2690	1404
707	2694	1400
708	2698	1396
709	2701	1392
710	2705	1389
711	2709	1385
712	2712	1381
713	2715	1377
714	2720	1373
715	2725	1370
716	2728	1366
717	2732	1362
718	2735	1358
719	2740	1354
720	2743	1351
721	2748	1347
722	2752	1343
723	2758	1341
724	2762	1337
725	2766	1333
726	2771	1330
727	2776	1327
728	2780	1323
729	2784	1319
730	2789	1316
731	2793	1312
732	2797	1309
733	2801	1305
734	2805	1301
735	2809	1297
736	2813	1293
737	2817	1290
738	2821	1286
739	2864	1300
740	2897	1310
741	2902	1306
742	2906	1302
743	2910	1298
744	2914	1294
745	2917	1290
746	2921	1286
747	2925	1282
748	2929	1278
749	2933	1275
750	2936	1270
751	2941	1267
752	2944	1263
753	2948	1258
754	2952	1255
755	2955	1251
756	2959	1247
757	2962	1242
758	2968	1239
759	2972	1235
760	2975	1231
761	2978	1227
762	2983	1223
763	2986	1219
764	2989	1215
765	2993	1211
766	2998	1207
767	3001	1203
768	3004	1199
769	3007	1195
770	3012	1191
771	3015	1187
772	3018	1183
773	3022	1179
774	3025	1175
775	3029	1171
776	3032	1167
777	3036	1162
778	3039	1158
779	3043	1155
780	3048	1151
781	3051	1147
782	3055	1143
783	3058	1139
784	3062	1135
785	3065	1131
786	3068	1126
787	3071	1122
788	3075	1118
789	3079	1114
790	3083	1110
791	3086	1106
792	3089	1102
793	3093	1098
794	3096	1094
795	3099	1090
796	3103	1086
797	3108	1083
798	3118	1081
799	3127	1078
800	3134	1076
801	3141	1073
802	3146	1069
803	3151	1066
804	3155	1062
805	3159	1058
806	3163	1054
807	3176	1053
808	3179	1049
809	3182	1045
810	3185	1040
811	3189	1037
812	3193	1033
813	3197	1029
814	3200	1025
815	3204	1021
816	3208	1017
817	3211	1012
818	3214	1008
819	3217	1004
820	3221	1000
821	3224	996
822	3227	992
823	3230	988
824	3234	983
825	3237	980
826	3241	975
827	3244	971
828	3247	967
829	3252	964
830	3256	960
831	3259	956
832	3263	951
833	3266	947
834	3270	944
835	3274	940
836	3277	935
837	3281	931
838	3285	928
839	3289	924
840	3292	920
841	3296	916
842	3300	912
843	3305	908
844	3308	904
845	3311	900
846	3316	896
847	3319	892
848	3322	888
849	3325	884
850	3329	880
851	3332	876
852	3336	872
853	3339	868
854	3342	863
855	3346	860
856	3350	856
857	3354	852
858	3357	848
859	3360	844
860	3364	840
861	3369	836
862	3372	832
863	3376	828
864	3379	824
865	3383	820
866	3387	816
867	3391	812
868	3395	808
869	3398	804
870	3402	800
871	3405	796
872	3410	793
873	3413	789
874	3416	784
875	3420	780
876	3424	777
877	3427	773
878	3431	769
879	3434	764
880	3438	760
881	3441	757
882	3445	753
883	3448	749
884	3452	745
885	3455	741
886	3460	737
887	3463	733
888	3467	729
889	3470	725
890	3475	721
891	3478	717
892	3481	713
893	3484	709
894	3489	705
895	3493	701
896	3497	697
897	3500	693
898	3504	689
899	3508	686
900	3511	682
901	3515	678
902	3520	674
903	3525	670
904	3529	666
905	3533	662
906	3537	659
907	3541	655
908	3544	651
909	3548	647
910	3551	643
911	3556	639
912	3559	635
913	3563	631
914	3567	627
915	3571	623
916	3574	619
917	3578	615
918	3581	611
919	3585	608
920	3589	604
921	3593	600
922	3597	596
923	3602	592
924	3605	588
925	3608	584
926	3611	580
927	3617	576
928	3621	573
929	3625	569
930	3628	565
931	3632	561
932	3636	557
933	3640	553
934	3643	549
935	3648	545
936	3652	541
937	3656	537
938	3659	533
939	3664	530
940	3667	526
941	3671	522
942	3674	518
943	3678	514
944	3682	510
945	3685	506
946	3688	502
947	3692	498
948	3696	494
949	3699	490
950	3703	486
951	3706	482
952	3711	478
953	3715	475
954	3718	471
955	3722	467
956	3725	463
957	3729	459
958	3732	455
959	3736	451
960	3739	447
961	3744	443
962	3748	439
963	3751	435
964	3755	432
965	3759	428
966	3763	424
967	3767	420
968	3770	416
969	3774	412
970	3778	408
971	3781	404
972	3784	400
973	3788	396
974	3792	392
975	3796	388
976	3799	385
977	3802	381
978	3806	377
979	3810	373
980	3813	369
981	3816	365
982	3820	361
983	3823	357
984	3827	353
985	3830	349
986	3834	345
987	3837	341
988	3840	337
989	3845	334
990	3848	330
991	3852	326
992	3855	322
993	3859	318
994	3862	314
995	3865	310
996	3870	306
997	3874	302
998	3877	298
999	3881	295
1000	3887	291
1001	3891	287
1002	3894	283
1003	3897	279
1004	3901	275
1005	3906	271
1006	3910	267
1007	3913	263
1008	3918	260
1009	3922	256
1010	3926	252
1011	3929	248
1012	3932	244
1013	3936	240
1014	3940	236
1015	3943	232
1016	3947	228
1017	3951	225
1018	3954	221
1019	3958	217
1020	3961	213
1021	3965	209
1022	3969	205
1023	3973	201
1024	3977	197
1025	3982	194
1026	3986	190
1027	3989	186
1028	3992	182
1029	3996	178
1030	4002	174
1031	4006	170
1032	4009	166
1033	4013	163
1034	4017	159
1035	4020	155
1036	4024	151
1037	4027	147
1038	4031	143
1039	4035	139
1040	4038	135
1041	4042	131
1042	4046	128
1043	4050	124
1044	4053	120
1045	4056	116
1046	4061	112
1047	4064	108
1048	4068	104
1049	4071	100
1050	4075	96
1051	4079	93
1052	4082	89
1053	4085	85
1054	4088	81
1055	4091	77
1056	4095	73
1057	4098	69
1058	4101	65
1059	4104	61
1060	4108	58
1061	4111	54
1062	4115	50
1063	4118	46
1064	4122	42
1065	4126	38
1066	4128	34
1067	4131	30
1068	4135	27
1069	4140	23
1070	4144	19
1071	4147	15
1072	4150	11
1073	4153	7
1074	4157	3
1075	4160	0
