iter	MultiClass
0	1.340036657
1	1.306814333
2	1.275093447
3	1.253566775
4	1.229811585
5	1.211328016
6	1.196408971
7	1.182772922
8	1.167961429
9	1.150807512
10	1.13728436
11	1.124714261
12	1.119558262
13	1.106791627
14	1.095345578
15	1.087153868
16	1.077143681
17	1.066948107
18	1.060592613
19	1.054537888
20	1.04669158
21	1.041161503
22	1.032206117
23	1.024281052
24	1.017402903
25	1.009924198
26	1.005174789
27	1.000221011
28	0.9904155963
29	0.9830795372
30	0.977582616
31	0.9736417571
32	0.9671661489
33	0.9606969942
34	0.9555873402
35	0.9492944953
36	0.9433673639
37	0.9400868692
38	0.9344002318
39	0.928539379
40	0.9218566668
41	0.9151611919
42	0.9120243364
43	0.9063555832
44	0.9025893251
45	0.8989963537
46	0.8931995857
47	0.8907365702
48	0.8870018483
49	0.8811941305
50	0.8738848459
51	0.8691186064
52	0.8646019836
53	0.8599689987
54	0.8560363935
55	0.8520340388
56	0.8475720607
57	0.8421555067
58	0.8383320223
59	0.8343820498
60	0.8278063378
61	0.8234208132
62	0.8184931014
63	0.8148808245
64	0.8116429668
65	0.8086178956
66	0.8048010075
67	0.8003861438
68	0.7962519965
69	0.7907968488
70	0.7869870364
71	0.7813273777
72	0.7775909755
73	0.7745185976
74	0.7694262992
75	0.7656607115
76	0.7619313972
77	0.7583767489
78	0.7527400825
79	0.7489193272
80	0.7441479764
81	0.74019355
82	0.7364398483
83	0.7322881927
84	0.7284432583
85	0.7229934384
86	0.718784046
87	0.714349543
88	0.7101569941
89	0.7063470473
90	0.703207193
91	0.7002269656
92	0.6965194382
93	0.6906603231
94	0.6847550839
95	0.6817104323
96	0.678489039
97	0.6750790655
98	0.6721552235
99	0.6691428646
100	0.6665136603
101	0.6621937222
102	0.6586778034
103	0.6552994274
104	0.6497142553
105	0.644757725
106	0.6410638291
107	0.6371078338
108	0.633953547
109	0.6311671271
110	0.6255597391
111	0.6233446133
112	0.6199193859
113	0.6169190635
114	0.6145305089
115	0.6110431393
116	0.6092000027
117	0.6064284535
118	0.6023160228
119	0.6006288711
120	0.5990961337
121	0.5963300338
122	0.5925872524
123	0.5888448036
124	0.5864854587
125	0.5848482481
126	0.5821732037
127	0.577844311
128	0.5745536842
129	0.5709277551
130	0.5688454779
131	0.565134038
132	0.5617253372
133	0.5593037161
134	0.5549109672
135	0.5524258377
136	0.5485301792
137	0.547313017
138	0.5444161776
139	0.5412144978
140	0.5388632803
141	0.5361553309
142	0.5330466279
143	0.5309582215
144	0.528143915
145	0.5262053859
146	0.5227119106
147	0.5191685346
148	0.5149193679
149	0.512104913
150	0.510137723
151	0.5077989004
152	0.5047589643
153	0.5014105303
154	0.4984631559
155	0.4960658528
156	0.4926603349
157	0.4897687002
158	0.4874178202
159	0.4831518855
160	0.4797841572
161	0.477094125
162	0.4741326614
163	0.4730087747
164	0.4711208291
165	0.4687345398
166	0.4663675828
167	0.4648134466
168	0.4633532849
169	0.4607764784
170	0.4588995573
171	0.4564281001
172	0.453383706
173	0.4517712268
174	0.4496100141
175	0.4476913957
176	0.4458896763
177	0.4430255446
178	0.441455195
179	0.4397547038
180	0.4384547078
181	0.4366289074
182	0.4329594654
183	0.4306598879
184	0.4288817367
185	0.4277491419
186	0.4258962536
187	0.4234150894
188	0.4210016197
189	0.4190403745
190	0.4164263899
191	0.4143330797
192	0.4123646463
193	0.4107389047
194	0.4095368213
195	0.4076800209
196	0.4066320153
197	0.4054363337
198	0.4030803219
199	0.4014210096
200	0.3999548049
201	0.3974850179
202	0.3952320333
203	0.3928305591
204	0.3921920094
205	0.3903698985
206	0.387988585
207	0.3858065753
208	0.3837219692
209	0.3818342779
210	0.3798045902
211	0.3781752518
212	0.3757270592
213	0.3739504124
214	0.3720777587
215	0.3697566984
216	0.3687445108
217	0.36739161
218	0.3649229786
219	0.3636883624
220	0.3613785934
221	0.3595831993
222	0.3582930758
223	0.3565000385
224	0.3541303347
225	0.35260662
226	0.350001636
227	0.3488487266
228	0.3470022428
229	0.3454705956
230	0.3438925876
231	0.3415674104
232	0.3403965553
233	0.3390971555
234	0.3380869272
235	0.3368463214
236	0.3351468784
237	0.3343211757
238	0.3333333392
239	0.332038706
240	0.330009948
241	0.3291201315
242	0.3274010257
243	0.3267234255
244	0.3250774318
245	0.3241855962
246	0.3221250051
247	0.3209734393
248	0.3197520419
249	0.3183535123
250	0.3169311559
251	0.3161921429
252	0.315447096
253	0.3143242136
254	0.3124665475
255	0.3109672295
256	0.3100183596
257	0.3083354693
258	0.3071247305
259	0.3056571262
260	0.3038813049
261	0.3028724546
262	0.3013063124
263	0.3008902878
264	0.300316431
265	0.2995055517
266	0.2978648128
267	0.2965703981
268	0.2953392804
269	0.2942824591
270	0.293157886
271	0.2924161679
272	0.2910475482
273	0.2896466317
274	0.2883235594
275	0.2875499205
276	0.2867325898
277	0.2853465166
278	0.2838595987
279	0.282350732
280	0.2816591097
281	0.2799709653
282	0.2787695065
283	0.2773711634
284	0.2759961911
285	0.274539532
286	0.273753669
287	0.272902384
288	0.2716563517
289	0.2706707818
290	0.2695048171
291	0.2682912711
292	0.2677448883
293	0.2671806164
294	0.2660341256
295	0.2650188811
296	0.2643217739
297	0.2633435944
298	0.2617803466
299	0.2607523903
300	0.2593522711
301	0.257652803
302	0.2569227325
303	0.2555899457
304	0.2542241912
305	0.252944576
306	0.2517559445
307	0.2508652681
308	0.2498479521
309	0.2489971899
310	0.2482745256
311	0.2472010496
312	0.2462306789
313	0.2452124036
314	0.2440617392
315	0.242814743
316	0.2420385786
317	0.241239406
318	0.2405017715
319	0.2399091566
320	0.2392347281
321	0.2383415305
322	0.2376642724
323	0.2365949484
324	0.2358257142
325	0.2348333391
326	0.2335823709
327	0.233064798
328	0.2323154339
329	0.2318164717
330	0.2313076884
331	0.2300717784
332	0.2295008939
333	0.2283868368
334	0.2279616179
335	0.2269662728
336	0.2262584345
337	0.2256596658
338	0.2251150737
339	0.2245660418
340	0.2240722443
341	0.2230834629
342	0.2222643199
343	0.2217694044
344	0.2205847539
345	0.2197775399
346	0.2193993686
347	0.2184117149
348	0.2172197835
349	0.2165046545
350	0.2153954146
351	0.2143419665
352	0.2135058913
353	0.2125527159
354	0.2118794313
355	0.2110130087
356	0.2102513532
357	0.2095643487
358	0.2087822528
359	0.207823227
360	0.2069182973
361	0.2059898437
362	0.2049704181
363	0.2043489561
364	0.203192717
365	0.2025694469
366	0.202176607
367	0.2018379636
368	0.2009570188
369	0.2003231606
370	0.1995188112
371	0.1986156817
372	0.198113968
373	0.1975099768
374	0.1966561211
375	0.1957754202
376	0.1947456151
377	0.1945352107
378	0.1936358383
379	0.1929120229
380	0.192002446
381	0.1914259575
382	0.1903685077
383	0.1899125191
384	0.1895167241
385	0.188970039
386	0.188535632
387	0.187774215
388	0.1873815987
389	0.1865961254
390	0.1859954748
391	0.1854868451
