Feature,Importance
Borrowings,0.1992110680556827
Investment,0.10854690862838981
Deposits,0.102449017623183
Equity,0.08750471169286367
Net Income,0.07863094856794707
NPAs (Previous Period),0.07848521931132288
NPAs,0.06895404145281848
Net-interest Income,0.06894725350359793
Non-interest Income,0.060257148382813666
Performing Loans,0.05606322725210806
Employee Expense,0.04761650953477838
Assets,0.043333945994494374
