Feature,Importance
Borrowings,0.1299239
Deposits,0.11246405
Equity,0.09033437
Investment,0.08815148
Net-interest Income,0.08740468
Net Income,0.08271371
Assets,0.074831426
Performing Loans,0.07121581
Lagged NPAs,0.07066139
NPAs,0.06963175
Non-interest Income,0.06461083
Employee Expense,0.05805657
