Metric,Value
Accuracy,0.6384364820846905
Macro Precision,0.6291645307056266
Macro Recall,0.6288705613824477
Macro F1,0.6284462530625067
Weighted Precision,0.6390563746214989
Weighted Recall,0.6384364820846905
Weighted F1,0.6381652651790831
Avg AUC,0.8557201414485276
