Metric,Value
Accuracy,0.6416938110749185
Macro Precision,0.6322857201952511
Macro Recall,0.6359946610223037
Macro F1,0.6336761330040104
Weighted Precision,0.6431140248399968
Weighted Recall,0.6416938110749185
Weighted F1,0.6420650703217877
Avg AUC,0.8544912168087533
