Feature,Importance
Borrowings,0.1518242
Deposits,0.12648258
Equity,0.10818223
Investment,0.088104255
Net-interest Income,0.08809532
Net Income,0.07219583
Performing Loans,0.06847406
Assets,0.06767361
NPAs (Previous Period),0.0651049
NPAs,0.06312467
Employee Expense,0.053448647
Non-interest Income,0.047289647
