Feature,Importance
Borrowings,0.16724353198415864
Investment,0.10443824295911913
Equity,0.10074827475247494
Deposits,0.09941836964986124
NPAs (Previous Period),0.09447574523070061
NPAs,0.0903841911432767
Net Income,0.07492550346225808
Non-interest Income,0.07388170118395677
Performing Loans,0.05702559181583516
Net-interest Income,0.054818446017746235
Employee Expense,0.05250208663249637
Assets,0.030138315168115985
