Metric,Value
Accuracy,0.5928338762214984
Macro Precision,0.5895875591615957
Macro Recall,0.5856462321770814
Macro F1,0.5860694645635496
Weighted Precision,0.5925233397863245
Weighted Recall,0.5928338762214984
Weighted F1,0.5909214698681777
Avg AUC,0.8546625762408465
