number,value,datetime_start,datetime_complete,duration,params_base_max_depth,params_base_min_samples_leaf,params_base_min_samples_split,params_learning_rate,params_n_estimators,state
39,0.6303646303446143,2026-05-01 13:31:04.285829,2026-05-01 13:31:07.680117,0 days 00:00:03.394288,31,2,4,0.7390765217407685,220,COMPLETE
40,0.6214436868763471,2026-05-01 13:31:07.682343,2026-05-01 13:31:14.033601,0 days 00:00:06.351258,41,7,5,0.5768933715947261,490,COMPLETE
41,0.6300499407508506,2026-05-01 13:31:14.036115,2026-05-01 13:31:25.683477,0 days 00:00:11.647362,40,4,8,0.8139864298225912,763,COMPLETE
42,0.6311004269610998,2026-05-01 13:31:25.686027,2026-05-01 13:31:44.002485,0 days 00:00:18.316458,43,3,7,0.7412232100534346,690,COMPLETE
43,0.6271027115035538,2026-05-01 13:31:44.007012,2026-05-01 13:32:00.386564,0 days 00:00:16.379552,35,5,9,0.954734389256976,632,COMPLETE
44,0.6292494637866991,2026-05-01 13:32:00.395105,2026-05-01 13:32:17.965095,0 days 00:00:17.569990,48,4,10,0.8113762686707254,945,COMPLETE
45,0.6280660543034571,2026-05-01 13:32:17.968614,2026-05-01 13:32:34.733679,0 days 00:00:16.765065,45,3,7,0.9940104684713811,826,COMPLETE
46,0.6219944943456414,2026-05-01 13:32:34.734685,2026-05-01 13:32:49.824353,0 days 00:00:15.089668,43,4,5,0.9276359002206205,604,COMPLETE
47,0.622718057348185,2026-05-01 13:32:49.826909,2026-05-01 13:33:02.673022,0 days 00:00:12.846113,50,2,11,0.8646223821541359,544,COMPLETE
48,0.6388047332847485,2026-05-01 13:33:02.676035,2026-05-01 13:33:23.921041,0 days 00:00:21.245006,37,3,3,0.6691026956431995,958,COMPLETE
49,0.6282437472795622,2026-05-01 13:33:23.923054,2026-05-01 13:33:45.950412,0 days 00:00:22.027358,26,2,2,0.6713500670263346,954,COMPLETE
