DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,Lagged NPAs,Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
51,2021,BUSE,First Busey Corp,12859.689,137.493,1319.112,10768.577,638.816,28.872,7188.998,3994.822,123.449,270.698,132.804,21.268,2021,Optimal,0.06843763,0.072536647,0.0704871384999999,0.93156237,0.864738147264445,0.9295128615,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
53,2021,BWFG,Bankwell Financial Group Inc,2456.264,18.317,201.987,2123.998,99.606,33.416,1892.069,111.223,26.586,67.886,5.657,16.587,2021,Optimal,0.046434322,0.064783707,0.0556090145,0.953565678,0.8783157432366685,0.9443909855,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
61,2021,CBAN,Colony Bankcorp Inc,2691.715,45.596,217.707,2374.608,89.111,10.134,1337.977,952.176,18.659,66.189,36.29,5.779,2021,Optimal,0.033398229,0.13197649,0.0826873595,0.966601771,0.7668211466123294,0.9173126405,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
63,2021,CBFV,CB Financial Services Inc,1425.479,19.938,133.124,1226.613,57.744,14.696,1020.796,224.974,11.57,40.152,16.28,7.302,2021,Optimal,0.064494635,0.086314136,0.0754043855,0.935505365,0.8410880736251415,0.9245956145,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
69,2021,CCBG,Capital City Bank Group,4263.849,101.47,383.166,3712.862,100.496,6.679,1931.465,995.073,33.396,102.861,107.545,4.339,2021,Optimal,0.040879999,0.17304637,0.1069631845,0.959120001,0.7049624389528608,0.8930368155,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
71,2021,CCNE,CNB Financial Corp/PA,5328.939,61.175,442.847,4715.619,125.909,31.546,3634.792,720.467,57.707,159.78,33.434,20.295,2021,Optimal,0.023389107,0.14456244,0.0839757734999999,0.976610893,0.747392654261833,0.9160242265,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
72,2021,CEFC,Commercial National Financial Corp,610.802,7.165,44.893,515.059,47.803,7.384,451.572,81.934,6.366,16.976,2.323,4.416,2021,Optimal,0.069387055,0.13871032,0.1040486875,0.930612945,0.7563729465453515,0.8959513125,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
77,2021,CFR,Cullen/Frost Bankers Inc,50878.49,477.526,4439.555,42695.696,3302.317,62.299,16336.397,15673.807,443.079,984.867,386.728,57.177,2021,Optimal,0.060237181,0.058844084,0.0595406324999999,0.939762819,0.8888522212303356,0.9404593675,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
85,2021,CMA,Comerica Incorporated,94616.0,1133.0,7897.0,82339.0,3152.0,359.0,48645.0,17078.0,1168.0,1844.0,1123.0,269.0,2021,Optimal,0.020359235,0.086944424,0.0536518295,0.979640765,0.8400204792807328,0.9463481705,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
86,2021,CMTV,Community Bancorp/VT,1019.106,11.152,84.76,879.4,51.519,5.163,689.95,183.778,13.138,31.669,6.734,5.941,2021,Optimal,0.054604837,0.14950524,0.1020550385,0.945395163,0.7398789761062767,0.8979449615,0.9277338271067884,0.8996884017114126,4,Funding-Rich Underperformers,Funding-Rich Underperformers
