DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,Lagged NPAs,Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
10,2022,AMTB,Amerant Bancorp Inc,9127.804,123.51,705.726,7044.199,1199.305,59.501,6857.194,1366.68,63.31,266.665,67.277,37.599,2022,Optimal,0.15287003,0.066267185,0.1095686075,0.84712997,0.8757024769546855,0.8904313925,0.9030261202360312,0.9337132013214337,3,Network Laggards,Network Laggards
14,2022,ASRV,AmeriServ Financial Inc,1363.874,28.492,106.178,1108.537,138.373,3.323,990.766,249.265,7.448,40.563,16.692,5.2,2022,Optimal,0.12763746,0.095181911,0.1114096855,0.87236254,0.8261806371270498,0.8885903145,0.9030261202360312,0.9337132013214337,3,Network Laggards,Network Laggards
26,2022,BCML,BayCom Corp,2513.334,40.48,317.149,2085.479,89.333,6.909,2021.124,188.042,23.73,96.714,6.1,15.244,2022,Optimal,0.10373207,0.038864681,0.0712983755,0.89626793,0.9251785497942056,0.9287016245,0.9030261202360312,0.9337132013214337,3,Network Laggards,Network Laggards
30,2022,BFST,Business First Bancshares Inc,5990.46,85.222,580.481,4820.345,577.783,14.517,4606.176,928.218,54.255,199.577,29.31,12.823,2022,Optimal,0.11964797,0.05770699,0.08867748,0.88035203,0.8908828427048591,0.91132252,0.9030261202360312,0.9337132013214337,3,Network Laggards,Network Laggards
31,2022,BHB,Bar Harbor Bankshares,3909.803,48.657,393.45,3043.431,402.747,10.191,2902.69,574.409,43.557,113.681,35.311,6.549,2022,Optimal,0.15361603,0.067789,0.110702515,0.84638397,0.873029222065408,0.8892974849999999,0.9030261202360312,0.9337132013214337,3,Network Laggards,Network Laggards
35,2022,BKOR,Oak Ridge Financial Services Inc,589.281,9.988,52.643,480.985,49.752,3.0,426.295,94.726,6.662,21.654,4.07,0.739,2022,Optimal,0.13553825,0.10528555,0.1204119,0.86446175,0.8094871501758074,0.8795881,0.9030261202360312,0.9337132013214337,3,Network Laggards,Network Laggards
47,2022,BRBS,Blue Ridge Bankshares Inc,3130.465,56.006,248.793,2502.507,359.531,16.251,2411.059,424.046,17.333,104.567,48.092,18.779,2022,Optimal,0.13348911,0.082936658,0.108212884,0.86651089,0.8468300848672538,0.891787116,0.9030261202360312,0.9337132013214337,3,Network Laggards,Network Laggards
51,2022,BUSE,First Busey Corp,12336.677,159.016,1145.977,10071.28,917.703,21.268,7725.702,3391.24,128.311,323.438,126.803,16.59,2022,Optimal,0.10192853,0.049047547,0.0754880385,0.89807147,0.9064912793700092,0.9245119615,0.9030261202360312,0.9337132013214337,3,Network Laggards,Network Laggards
58,2022,CARV,Carver Bancorp Inc,723.224,13.186,45.224,600.429,64.263,11.541,597.896,58.427,-4.401,22.789,3.595,12.321,2022,Optimal,0.11658057,0.056349238,0.086464904,0.88341943,0.8933132415437025,0.913535096,0.9030261202360312,0.9337132013214337,3,Network Laggards,Network Laggards
81,2022,CIVB,Civista Bancshares Inc,3537.83,50.851,334.835,2619.984,541.736,5.37,2546.666,651.177,39.427,110.204,29.076,10.905,2022,Optimal,0.19663936,0.049411742,0.123025551,0.80336064,0.905829637648556,0.876974449,0.9030261202360312,0.9337132013214337,3,Network Laggards,Network Laggards
