DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,NPAs (Previous Period),Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
75,2022,CFFN,Capitol Federal Financial Inc,9624.897,56.6,1096.499,6194.866,2143.967,13.606,7480.579,1663.931,84.453,192.594,22.83,9.771,2022,Optimal,0.2681575,0.0,0.13407875,0.7318425,1.0,0.86592125,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
78,2022,CHBH,Croghan Bancshares Inc,1125.763,16.513,109.07,908.898,100.746,0.499,699.459,336.291,14.014,37.668,7.006,0.583,2022,Optimal,0.13522438,0.026674236,0.080949308,0.86477562,0.9480375857021116,0.919050692,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
83,2022,CLBK,Columbia Financial Inc,10408.169,116.926,1053.595,8001.159,1145.662,3.939,7677.564,1811.655,86.173,266.777,30.4,6.721,2022,Optimal,0.15542646,0.0,0.07771323,0.8445735400000001,1.0,0.92228677,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
84,2022,CLST,Catalyst Bancorp Inc,263.324,4.822,88.474,165.094,9.198,1.231,133.607,94.885,0.18,7.331,1.173,2.005,2022,Optimal,0.30671205,0.0,0.153356025,0.69328795,1.0,0.846643975,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
88,2022,CNOB,ConnectOne Bancorp Inc,9644.948,81.289,1178.751,7356.622,1022.274,61.7,8099.689,697.299,125.211,302.119,13.243,44.718,2022,Optimal,0.15432564,0.0024830787,0.07840435935,0.8456743600000001,0.9950461434157672,0.92159564065,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
95,2022,CTBI,Community Trust Bancorp Inc,5380.316,72.49,628.047,4426.143,291.755,20.111,3709.29,1269.955,81.814,169.102,57.916,18.98,2022,Optimal,0.10081887,0.02471023,0.06276455,0.89918113,0.9517712826971584,0.93723545,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
97,2022,CVBF,CVB Financial Corp,16476.54,131.596,1948.517,12836.245,1584.889,6.893,8998.266,5837.139,235.425,505.513,49.989,4.93,2022,Optimal,0.12812848,0.0,0.06406424,0.87187152,1.0,0.93593576,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
102,2022,CZNC,Citizens & Northern Corp,2454.307,41.833,249.325,1997.593,185.914,21.902,1740.04,498.033,26.618,83.128,24.432,25.597,2022,Optimal,0.12167193,0.017274039,0.0694729845,0.87832807,0.9660385730142476,0.9305270155,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
104,2022,DCOM,Dime Community Bancshares Inc,13189.921,120.108,1169.583,10254.407,1392.983,40.307,10566.831,1625.13,152.556,379.863,38.156,34.237,2022,Optimal,0.13890938,0.030513635,0.0847115075,0.86109062,0.9407797549423011,0.9152884925,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
105,2022,DIMC,Dimeco Inc,969.567,14.861,88.013,787.574,82.093,13.823,679.072,218.823,12.341,34.809,4.956,4.794,2022,Optimal,0.13172746,0.0195824,0.07565493,0.86827254,0.9615874106889252,0.92434507,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
108,2022,ECBK,ECB Bancorp Inc,1064.462,9.928,162.73,718.149,174.0,0.982,892.874,89.885,2.72,23.634,1.401,0.656,2022,Optimal,0.26852454,0.0,0.13426227,0.73147546,1.0,0.86573773,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
111,2022,EGBN,Eagle Bancorp Inc,11150.854,84.053,1228.321,8713.182,1109.162,30.843,7635.632,2757.107,140.93,332.867,23.654,8.43,2022,Optimal,0.12765719,0.0,0.063828595,0.87234281,1.0,0.936171405,0.9030261202360312,0.9337132013214337,2,Transformation Specialists,Transformation Specialists
