DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,NPAs (Previous Period),Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
68,2024,CCB,Coastal Financial Corp,4121.208,70.084,438.704,3585.332,53.282,53.839,3486.565,58.121,45.219,273.028,308.205,62.656,2024,Optimal,0.051995478,0.0,0.025997739,0.948004522,1.0,0.974002261,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
69,2024,CCBG,Capital City Bank Group,4324.932,100.721,495.317,3671.977,107.524,6.243,2651.55,972.899,52.915,158.938,75.976,6.669,2024,Optimal,0.074506303,0.011466032,0.0429861675,0.925493697,0.9773278950805142,0.9570138325,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
74,2024,CFFI,C&F Financial Corp,2563.374,53.578,226.97,2170.86,133.038,1.944,1920.398,422.217,19.834,96.775,30.538,3.257,2024,Optimal,0.085802491,0.0,0.0429012455,0.914197509,1.0,0.9570987545,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
76,2024,CFG,Citizens Financial Group Inc,217521.0,2611.0,24254.0,174776.0,13357.0,1378.0,139203.0,42294.0,1509.0,5633.0,2176.0,1677.0,2024,Optimal,0.0,0.0,0.0,1.0,1.0,1.0,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
77,2024,CFR,Cullen/Frost Bankers Inc,52520.259,743.84,3898.588,42722.748,4895.801,61.632,20754.813,18577.4,582.542,1604.612,459.098,92.966,2024,Optimal,0.086586362,0.0,0.043293181,0.913413638,1.0,0.956706819,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
90,2024,COLB,Columbia Banking System Inc,51576.397,588.83,5118.224,41720.732,3900.9,113.937,37680.901,8504.873,533.675,1718.402,210.966,169.559,2024,Optimal,0.090907999,0.0,0.0454539995,0.909092001,1.0,0.9545460005,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
98,2024,CYFL,Century Financial Corp,467.219,7.949,57.099,401.47,5.124,1.02,231.929,137.507,9.004,19.509,5.655,2.238,2024,Optimal,0.066720266,0.0,0.033360133,0.933279734,1.0,0.966639867,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
99,2024,CZBC,Citizens Bancorp/OR,807.493,18.188,73.485,706.98,15.566,0.51,375.985,326.125,3.373,27.913,2.575,0.205,2024,Optimal,0.074465554,0.0,0.037232777,0.925534446,1.0,0.962767223,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
106,2024,EBC,Eastern Bankshares Inc,25557.88,287.627,3611.967,21291.619,175.801,52.557,17778.354,4448.178,119.561,607.597,123.917,135.82,2024,Optimal,0.064266005,0.0,0.0321330025,0.935733995,1.0,0.9678669975,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
109,2024,EFSC,Enterprise Financial Services Corp,15596.431,182.713,1824.002,13146.492,463.522,49.464,11220.355,2863.989,185.266,568.096,69.703,46.642,2024,Optimal,0.05775846,0.0,0.02887923,0.94224154,1.0,0.97112077,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
111,2024,EGBN,Eagle Bancorp Inc,11129.508,87.768,1226.061,9131.078,623.08,66.632,7934.888,2257.814,-47.035,288.688,19.939,211.449,2024,Optimal,0.050908709,0.0,0.0254543545,0.949091291,1.0,0.9745456455,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
112,2024,EMYB,Embassy Bancorp Inc,1704.42,14.246,106.48,1552.959,26.538,0.366,1268.422,282.491,10.44,36.184,3.185,0.495,2024,Optimal,0.0,0.0,0.0,1.0,1.0,1.0,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
115,2024,EQFN,Equitable Financial Corp,511.222,8.535,47.815,449.155,8.275,0.711,452.196,25.962,2.714,13.68,5.014,3.609,2024,Optimal,0.050931961,0.0,0.0254659805,0.949068039,1.0,0.9745340195,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
116,2024,ESQ,Esquire Financial Holdings Inc,1892.503,37.845,237.094,1642.236,3.497,11.009,1397.021,313.44,43.658,99.929,24.895,10.94,2024,Optimal,0.070483404,0.0,0.035241702,0.929516596,1.0,0.964758298,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
117,2024,EWBC,East West Bancorp Inc,75976.475,550.734,7723.054,63175.023,3625.237,114.015,53726.637,13929.483,1165.586,2278.716,335.218,194.095,2024,Optimal,0.0,0.0,0.0,1.0,1.0,1.0,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
122,2024,FBNC,First Bancorp/NC,12147.694,140.022,1445.611,10530.525,106.43,44.789,8094.676,2604.36,76.215,332.273,17.899,46.917,2024,Optimal,0.03109333,0.015341012,0.0232171709999999,0.96890667,0.9697815574891798,0.976782829,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
123,2024,FBP,First BanCorp (Puerto Rico),19292.921,235.695,1669.236,16871.298,627.501,125.906,12746.556,4934.304,298.724,807.479,130.722,118.252,2024,Optimal,0.024377655,0.0,0.0121888275,0.975622345,1.0,0.9878111725,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
125,2024,FBSI,First Bancshares Inc,537.885,7.9,59.562,472.596,2.472,1.63,430.525,13.595,6.578,21.902,1.609,1.633,2024,Optimal,0.047671226,0.0,0.023835613,0.952328774,1.0,0.976164387,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
129,2024,FCF,First Commonwealth Financial Corp.,11584.936,149.287,1405.165,9678.019,387.778,40.918,8983.754,1584.216,142.572,378.892,99.231,63.143,2024,Optimal,0.074567643,0.029409734,0.0519886885,0.925432357,0.9428609755112342,0.9480113115,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
135,2024,FFDF,FFD Financial Corp,785.661,8.539,66.97,706.188,5.017,0.463,602.55,51.147,11.614,25.017,3.2,0.533,2024,Optimal,0.015439921,0.0,0.0077199605,0.984560079,1.0,0.9922800395,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
137,2024,FFIN,First Financial Bankshares Inc,13979.418,153.296,1606.56,12099.174,197.019,35.096,7913.098,4617.759,223.511,426.741,123.989,63.096,2024,Optimal,0.028461653,0.0,0.0142308265,0.971538347,1.0,0.9857691735,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
138,2024,FFMH,First Farmers and Merchants Corp,1765.311,22.312,137.673,1603.621,2.523,1.407,998.818,615.233,16.035,45.061,13.829,1.344,2024,Optimal,0.016426722,0.0,0.008213361,0.983573278,1.0,0.991786639,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
140,2024,FGBI,First Guaranty Bancshares Inc,3972.728,38.304,255.049,3476.26,213.523,41.724,2693.78,612.425,12.448,88.438,24.739,120.35,2024,Optimal,0.015094538,0.0,0.007547269,0.984905462,1.0,0.992452731,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
142,2024,FHB,First Hawaiian Inc,23828.186,235.565,2617.486,20322.216,313.02,18.595,14408.258,5738.566,230.129,622.738,185.803,20.679,2024,Optimal,0.029080535,0.0,0.0145402675,0.970919465,1.0,0.9854597325,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
147,2024,FITB,Fifth Third Bancorp,212927.0,2763.0,19645.0,167252.0,19597.0,689.0,116603.0,51166.0,2314.0,5630.0,2849.0,860.0,2024,Optimal,0.014372011,0.0072741921,0.01082310155,0.985627989,0.9855566792894108,0.98917689845,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
154,2024,FMCB,Farmers & Merchants Bancorp,5370.196,72.472,573.072,4699.139,12.584,0.873,3678.388,1248.956,88.457,206.676,20.7,1.802,2024,Optimal,0.039667591,0.0,0.0198337955,0.960332409,1.0,0.9801662045,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
158,2024,FNLC,First Bancorp Inc/ME (The),3157.01,24.23,252.493,2725.251,146.843,2.178,2340.94,651.587,27.045,63.91,16.355,4.421,2024,Optimal,0.012867607,0.016528755,0.014698181,0.987132393,0.9674800050294692,0.985301819,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
159,2024,FNRN,First Northern Community Bancorp,1891.722,23.85,176.332,1700.089,3.645,8.334,1062.737,644.371,20.034,64.36,6.019,11.212,2024,Optimal,0.025452664,0.0,0.012726332,0.974547336,1.0,0.987273668,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
168,2024,FSBC,Five Star Bancorp,4053.278,31.709,396.624,3557.994,80.752,1.965,3532.686,124.803,45.671,119.711,6.453,1.885,2024,Optimal,0.0,0.0,0.0,1.0,1.0,1.0,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
171,2024,FULT,Fulton Financial Corp,32071.81,432.821,3197.325,26129.433,1936.224,154.237,24044.919,4946.042,288.743,960.325,275.731,222.695,2024,Optimal,0.089550308,0.0094779359,0.04951412195,0.910449692,0.9812221038956144,0.95048587805,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
174,2024,FVCB,FVCBankcorp Inc,2198.95,18.752,235.354,1870.605,76.333,1.829,1870.235,164.926,15.064,55.589,2.534,12.86,2024,Optimal,0.058901797,0.0,0.0294508985,0.941098203,1.0,0.9705491015,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
182,2024,HAFC,Hanmi Financial Corp,7677.925,83.368,732.174,6435.776,432.938,15.591,6251.377,922.183,62.201,202.774,31.585,14.389,2024,Optimal,0.063098717,0.00061864173,0.0318586793649999,0.936901283,0.9987634815019428,0.968141320635,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
184,2024,HBAN,Huntington Bancshares Inc,204230.0,2701.0,19782.0,162448.0,16953.0,711.0,124588.0,44464.0,1940.0,5345.0,2040.0,822.0,2024,Optimal,0.0097398494,0.0,0.0048699247,0.9902601506,1.0,0.9951300753,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
185,2024,HBC2,HSBC USA Inc,170731.0,567.0,12489.0,123350.0,28069.0,610.0,62753.0,42735.0,825.0,1767.0,2030.0,879.0,2024,Optimal,0.0,0.0,0.0,1.0,1.0,1.0,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
189,2024,HBT,HBT Financial Inc,5032.902,76.441,544.605,4318.254,134.602,8.709,3466.146,1208.937,71.78,188.85,35.571,8.023,2024,Optimal,0.062754884,0.01759756,0.040176222,0.937245116,0.965413517697507,0.959823778,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
190,2024,HFBK,Harford Bank (Alberdeen MD),713.432,9.645,65.032,643.357,1.305,6.522,499.547,101.109,6.964,22.804,2.028,6.619,2024,Optimal,0.024961788,0.0,0.012480894,0.975038212,1.0,0.987519106,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
198,2024,HONT,Honat Bancorp Inc,1042.585,15.361,133.572,891.415,1.078,1.15,781.634,180.453,13.001,36.186,5.455,1.372,2024,Optimal,0.088344373,0.0,0.0441721865,0.911655627,1.0,0.9558278135,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
199,2024,HOPE,Hope Bancorp Inc,17054.008,177.86,2134.505,14327.489,392.643,45.528,13618.272,2132.824,99.63,427.851,47.077,90.793,2024,Optimal,0.050906875,0.0,0.0254534375,0.949093125,1.0,0.9745465625,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
203,2024,HWC,Hancock Whitney Corp,35081.785,469.377,4127.636,29492.851,967.376,62.664,23299.447,7609.112,460.815,1081.921,364.129,125.132,2024,Optimal,0.059198566,0.0,0.029599283,0.940801434,1.0,0.970400717,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
204,2024,IBCP,Independent Bank Corp,5338.104,84.955,454.686,4654.088,130.729,5.801,4038.825,914.717,66.79,166.248,56.362,6.94,2024,Optimal,0.046800398,0.0055474283,0.02617391315,0.953199602,0.9889663517724298,0.97382608685,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
214,2024,JPM,JPMorgan Chase & Co,4002814.0,51357.0,344758.0,2406032.0,760046.0,7597.0,1340940.0,900866.0,58471.0,92583.0,84973.0,9300.0,2024,Optimal,0.0,0.0,0.0,1.0,1.0,1.0,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
215,2024,JUVF,Juniata Valley Financial Corp,848.874,11.47,47.457,747.957,47.505,4.952,533.869,259.969,6.229,22.929,5.825,0.496,2024,Optimal,0.050628274,0.0,0.025314137,0.949371726,1.0,0.974685863,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
216,2024,KEY,KeyCorp,187168.0,2714.0,18176.0,149760.0,14755.0,591.0,101524.0,46143.0,-161.0,3765.0,809.0,772.0,2024,Optimal,0.0097294055,0.0026397733,0.0061845894,0.9902705945,0.9947343535130037,0.9938154106,0.9087669253373367,0.9363900117657884,1,Network Leaders,Network Leaders
