DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,NPAs (Previous Period),Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
10,2024,AMTB,Amerant Bancorp Inc,9901.734,137.082,890.467,7854.595,1004.716,54.581,7228.411,1497.925,-15.752,325.957,9.909,122.175,2024,Optimal,0.127498,0.072548448,0.100023224,0.872502,0.8647176299862586,0.899976776,0.9087669253373367,0.9363900117657884,3,Network Laggards,Network Laggards
14,2024,ASRV,AmeriServ Financial Inc,1422.362,28.387,107.248,1200.995,101.687,12.393,1067.949,226.341,3.601,36.048,17.975,12.657,2024,Optimal,0.10614527,0.10430139,0.10522333,0.89385473,0.8110997759406967,0.8947766699999999,0.9087669253373367,0.9363900117657884,3,Network Laggards,Network Laggards
26,2024,BCML,BayCom Corp,2664.508,38.906,324.366,2234.009,86.764,12.977,1952.896,227.406,23.614,91.141,6.377,9.467,2024,Optimal,0.091722007,0.15623403,0.1239780185,0.908277993,0.7297536208997412,0.8760219815,0.9087669253373367,0.9363900117657884,3,Network Laggards,Network Laggards
29,2024,BFIN,BankFinancial Corp,1434.814,23.146,156.377,1217.541,42.25,25.115,895.157,368.02,4.073,48.441,5.789,18.325,2024,Optimal,0.099005082,0.040562205,0.0697836434999999,0.900994918,0.9220379044999044,0.9302163565,0.9087669253373367,0.9363900117657884,3,Network Laggards,Network Laggards
48,2024,BRKL,Brookline Bancorp Inc,11905.326,143.723,1221.939,8901.644,1564.631,45.324,9779.288,978.107,68.715,329.585,25.615,70.452,2024,Optimal,0.16807641,0.035824056,0.101950233,0.8319235899999999,0.93082984355791,0.898049767,0.9087669253373367,0.9363900117657884,3,Network Laggards,Network Laggards
49,2024,BSBK,Bogota Financial Corp,971.49,8.75,137.289,642.188,182.953,12.8,714.337,149.11,-2.17,10.551,1.348,14.0,2024,Optimal,0.26084113,0.033583998,0.147212564,0.73915887,0.935014477652546,0.8527874360000001,0.9087669253373367,0.9363900117657884,3,Network Laggards,Network Laggards
50,2024,BSRR,Sierra Bancorp,3614.271,50.338,357.302,2891.668,297.781,7.985,2331.434,976.157,40.56,120.029,31.521,19.668,2024,Optimal,0.12781417,0.047898133,0.0878561515,0.87218583,0.9085824633299544,0.9121438485,0.9087669253373367,0.9363900117657884,3,Network Laggards,Network Laggards
54,2024,BY,Byline Bancorp Inc,9496.529,140.119,1091.497,7458.628,774.652,65.307,6906.822,1453.618,120.759,348.046,58.851,67.246,2024,Optimal,0.13775961,0.051939708,0.094849659,0.86224039,0.901249648425668,0.905150341,0.9087669253373367,0.9363900117657884,3,Network Laggards,Network Laggards
55,2024,CAC,Camden National Corp,5805.138,64.073,531.231,4633.167,560.454,7.438,4115.259,1134.041,53.004,132.453,44.539,4.829,2024,Optimal,0.11258136,0.037473538,0.075027449,0.88741864,0.9277600119377696,0.924972551,0.9087669253373367,0.9363900117657884,3,Network Laggards,Network Laggards
61,2024,CBAN,Colony Bankcorp Inc,3109.782,49.767,278.675,2567.943,249.358,10.657,1842.98,813.82,23.868,76.076,39.375,11.342,2024,Optimal,0.10529169,0.13686977,0.12108073,0.89470831,0.7592164492156388,0.87891927,0.9087669253373367,0.9363900117657884,3,Network Laggards,Network Laggards
