DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,Lagged NPAs,Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
3,2024,ACNB,ACNB Corp,2394.83,42.929,303.273,1792.501,273.923,4.64,1682.91,470.325,31.846,83.611,24.73,7.25,2024,Optimal,0.1960978,0.022704177,0.1094009884999999,0.8039022,0.9555997178644552,0.8905990115,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
4,2024,AFBI,Affinity Bancshares Inc,866.817,13.126,129.115,673.481,60.398,10.276,714.115,69.976,5.441,29.166,2.015,4.8,2024,Optimal,0.16856536,0.0,0.08428268,0.83143464,1.0,0.91571732,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
13,2024,ASB,Associated Banc-Corp,43023.068,487.956,4605.562,34648.434,3197.407,160.421,29768.586,8523.029,123.145,1047.248,-9.407,144.164,2024,Optimal,0.094795713,0.0,0.0473978565,0.905204287,1.0,0.9526021435,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
18,2024,AVBH,Avidbank Holdings Inc,2304.488,32.499,186.362,1891.355,214.686,1.378,1864.942,304.965,21.015,75.222,6.01,1.347,2024,Optimal,0.11230929,0.0074884844,0.0598988872,0.88769071,0.9851343523703704,0.9401011128,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
25,2024,BCBP,BCB Bancorp Inc,3599.118,28.229,323.925,2750.858,511.461,18.783,3031.048,135.461,18.623,92.021,2.94,44.708,2024,Optimal,0.13491878,0.030697626,0.082808203,0.86508122,0.9404333041512216,0.917191797,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
31,2024,BHB,Bar Harbor Bankshares,4083.327,54.849,458.428,3267.688,299.841,5.528,3147.096,532.687,43.544,113.839,37.08,12.754,2024,Optimal,0.12479813,0.022921388,0.073859759,0.87520187,0.9551844584170528,0.926140241,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
34,2024,BK,Bank of New York Mellon Corp (The),416064.0,7130.0,41677.0,289524.0,46765.0,237.0,70967.0,137162.0,4530.0,4312.0,14307.0,179.0,2024,Optimal,0.10725778,0.0,0.05362889,0.89274222,1.0,0.94637111,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
35,2024,BKOR,Oak Ridge Financial Services Inc,663.682,10.256,62.99,531.315,62.122,0.457,514.292,107.815,5.673,23.737,3.263,3.493,2024,Optimal,0.13928416,0.0,0.06964208,0.86071584,1.0,0.93035792,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
38,2024,BLFY,Blue Foundry Bancorp,2060.683,29.433,332.198,1343.32,364.668,6.711,1583.482,347.895,-11.911,37.55,1.794,5.104,2024,Optimal,0.30143423,0.0,0.150717115,0.69856577,1.0,0.849282885,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
43,2024,BOKF,BOK Financial Corp,49685.892,811.239,5550.957,38191.23,4702.843,148.344,24114.724,15292.879,523.569,1210.758,839.641,48.979,2024,Optimal,0.13766348,0.0,0.06883174,0.8623365199999999,1.0,0.93116826,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
47,2024,BRBS,Blue Ridge Bankshares Inc,2737.26,58.161,327.788,2179.442,198.402,63.063,2111.797,355.549,-15.385,78.661,13.573,25.722,2024,Optimal,0.14041184,0.0,0.07020592,0.8595881599999999,1.0,0.92979408,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
59,2024,CASH,Pathward Financial Inc,7532.017,201.472,822.189,5875.085,436.376,57.976,4075.195,1813.63,183.219,497.825,299.587,43.033,2024,Optimal,0.14526033,0.0,0.072630165,0.8547396700000001,1.0,0.927369835,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
62,2024,CBCY,Central Bancompany Inc,19242.543,281.087,3110.661,14985.848,1038.795,22.708,11624.091,5655.718,305.81,687.324,210.39,39.689,2024,Optimal,0.13772288,0.0,0.06886144,0.86227712,1.0,0.93113856,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
66,2024,CBSH,Commerce Bancshares Inc,31996.627,607.862,3332.475,25293.644,2957.989,7.582,17220.103,9424.346,526.331,1040.246,623.376,18.621,2024,Optimal,0.11696335,0.0,0.058481675,0.88303665,1.0,0.941518325,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
67,2024,CBU,Community Financial System Inc,16386.044,300.779,1762.835,13441.707,1047.812,55.732,10432.365,4218.386,182.481,449.117,297.186,76.168,2024,Optimal,0.094019832,0.02138711,0.057703471,0.905980168,0.958121441340688,0.942296529,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
75,2024,CFFN,Capitol Federal Financial Inc,9527.608,52.272,1032.27,6129.982,2188.486,9.628,7930.373,957.441,38.01,162.061,5.244,10.147,2024,Optimal,0.19448766,0.0,0.09724383,0.8055123399999999,1.0,0.90275617,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
79,2024,CHCO,City Holding Co,6459.459,76.363,730.664,5144.15,475.655,8.559,4274.776,1451.109,117.101,220.237,73.334,14.965,2024,Optimal,0.11750196,0.018006805,0.0677543825,0.88249804,0.9646234093690564,0.9322456175,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
82,2024,CIZN,Citizens Holding Co,1469.843,19.991,48.086,1071.351,335.571,5.826,764.866,559.877,5.49,34.622,12.035,7.154,2024,Optimal,0.22021303,0.013476179,0.1168446045,0.77978697,0.9734060271386014,0.8831553955,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
83,2024,CLBK,Columbia Financial Inc,10475.493,109.489,1080.376,8096.149,1098.424,12.618,7916.928,1485.846,-11.653,177.982,1.894,23.035,2024,Optimal,0.13110797,0.027018035,0.0790630025,0.86889203,0.9473854711811366,0.9209369975,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
84,2024,CLST,Catalyst Bancorp Inc,276.697,4.83,80.204,185.674,9.558,2.051,167.076,44.12,-3.089,9.545,-3.84,1.825,2024,Optimal,0.22156959,0.0,0.110784795,0.77843041,1.0,0.889215205,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
85,2024,CMA,Comerica Incorporated,79297.0,1352.0,6543.0,63811.0,7030.0,178.0,49817.0,15045.0,698.0,2190.0,1054.0,308.0,2024,Optimal,0.094151766,0.0,0.047075883,0.905848234,1.0,0.952924117,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
88,2024,CNOB,ConnectOne Bancorp Inc,9879.6,90.053,1241.704,7820.114,783.506,52.524,8274.81,673.388,73.793,247.337,16.728,57.31,2024,Optimal,0.097996128,0.017729489,0.0578628085,0.902003872,0.9651587397405168,0.9421371915,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
97,2024,CVBF,CVB Financial Corp,15153.655,144.472,2186.316,11948.381,811.504,21.302,8470.318,4939.795,200.716,447.347,54.474,47.098,2024,Optimal,0.10184901,0.013401855,0.0576254325,0.89815099,0.9735507588941604,0.9423745675,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
100,2024,CZBS,Citizens Bancshares Corp,799.902,10.153,186.266,599.989,1.177,7.71,418.196,259.273,12.877,34.967,4.604,12.336,2024,Optimal,0.18365906,0.0,0.09182953,0.81634094,1.0,0.90817047,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
119,2024,FBAK,First National Bank Alaska,4997.767,68.668,516.562,3679.155,760.983,4.611,2469.935,1928.625,67.048,166.721,28.233,4.313,2024,Optimal,0.19462316,0.0,0.09731158,0.80537684,1.0,0.90268842,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
127,2024,FCBC,First Community Bancshares Inc,3261.216,51.702,526.392,2691.247,1.421,19.652,2416.089,169.849,51.604,126.468,39.39,20.539,2024,Optimal,0.10504471,0.0,0.052522355,0.89495529,1.0,0.947477645,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
130,2024,FCNCA,First Citizens BancShares Inc,223720.0,3078.0,22228.0,155229.0,37408.0,1031.0,140221.0,44237.0,2777.0,7143.0,2615.0,1248.0,2024,Optimal,0.14257835,0.0,0.071289175,0.85742165,1.0,0.928710825,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
133,2024,FFBB,FFB Bancorp,1504.128,24.952,168.392,1284.377,39.458,6.006,1066.879,331.077,34.147,70.042,31.948,9.894,2024,Optimal,0.093143662,0.0095385384,0.0513411002,0.906856338,0.9811031713259456,0.9486588998,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
143,2024,FHN,First Horizon Corp,82152.0,1137.0,9111.0,65581.0,4928.0,469.0,62565.0,9166.0,775.0,2511.0,679.0,608.0,2024,Optimal,0.099701991,0.0,0.0498509955,0.900298009,1.0,0.9501490045,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
144,2024,FIBK,First Interstate BancSystem Inc,29137.4,343.5,3304.0,23015.6,2386.7,127.8,17844.9,7922.0,226.0,821.6,178.1,145.6,2024,Optimal,0.11547534,0.030536656,0.073005998,0.88452466,0.9407364001615872,0.926994002,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
145,2024,FINW,Finwise Bancorp,745.976,35.205,173.72,544.952,5.366,27.127,460.988,42.844,12.742,58.912,22.485,36.431,2024,Optimal,0.21978845,0.0,0.109894225,0.78021155,1.0,0.890105775,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
150,2024,FLG,Flagstar Financial Inc,100160.0,1263.0,8168.0,75870.0,14889.0,442.0,68272.0,11562.0,-1118.0,2152.0,400.0,2629.0,2024,Optimal,0.12651428,0.0,0.06325714,0.87348572,1.0,0.93674286,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
151,2024,FMAO,Farmers & Merchants Bancorp Inc,3364.723,38.711,335.211,2686.765,314.495,22.353,2561.869,440.956,25.938,85.912,15.621,3.124,2024,Optimal,0.12337324,0.0,0.06168662,0.87662676,1.0,0.93831338,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
156,2024,FNB,F.N.B. Corp,48625.0,504.101,6302.0,37107.0,4545.7,110.0,33939.0,7775.0,465.332,1280.443,316.395,162.0,2024,Optimal,0.13391052,0.0074693865,0.07068995325,0.86608948,0.985171983188593,0.92931004675,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
157,2024,FNFI,First Niles Financial Inc,156.381,4.905,14.167,83.581,57.214,0.437,104.341,19.202,0.863,3.004,4.995,0.913,2024,Optimal,0.28886961,0.0,0.144434805,0.71113039,1.0,0.8555651950000001,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
163,2024,FRAF,Franklin Financial Services Corp,2197.841,32.752,144.716,1815.647,223.962,0.147,1398.077,517.545,11.099,57.514,13.679,0.268,2024,Optimal,0.10964283,0.0,0.054821415,0.89035717,1.0,0.945178585,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
166,2024,FRME,First Merchants Corp,18311.969,221.167,2304.983,14521.626,1182.058,58.411,12854.359,3502.385,201.402,521.114,125.58,78.721,2024,Optimal,0.11508764,0.027141003,0.0711143215,0.88491236,0.9471523326968184,0.9288856785,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
169,2024,FSBW,FS Bancorp Inc,3029.177,55.092,295.767,2339.418,362.956,10.952,2533.821,305.251,35.024,123.105,21.556,13.601,2024,Optimal,0.16487331,0.02500822,0.094940765,0.8351266900000001,0.9512038644919356,0.905059235,0.9087669253373367,0.9363900117657884,2,Transformation Specialists,Transformation Specialists
