DMU,Year,Ticker,Bank Name,Assets,Employee Expense,Equity,Deposits,Borrowings,Lagged NPAs,Performing Loans,Investment,Net Income,Net-interest Income,Non-interest Income,NPAs,LP_Group,LP_Status,beta1,beta2,overall_beta,Stage1_Efficiency,Stage2_Efficiency,Overall_Efficiency,Stage1_Mean,Stage2_Mean,Class,Class_Name,Quadrant_Name
8,2024,AMBK,American Bank Inc,986.667,7.41,96.037,793.38,80.358,3.164,805.929,66.449,9.016,23.34,2.398,3.448,2024,Optimal,0.050466143,0.098506798,0.0744864705,0.949533857,0.8206532755566979,0.9255135295,0.9087669253373367,0.9363900117657884,4,Funding-Rich Underperformers,Funding-Rich Underperformers
12,2024,AROW,Arrow Financial Corp,4306.348,52.707,400.901,3827.93,38.447,21.463,3394.541,570.78,29.709,111.732,28.074,21.497,2024,Optimal,0.021976985,0.03421951,0.0280982475,0.978023015,0.9338254409839938,0.9719017525,0.9087669253373367,0.9363900117657884,4,Funding-Rich Underperformers,Funding-Rich Underperformers
15,2024,ATLO,Ames National Corp,2133.18,25.145,174.706,1846.682,99.364,13.919,1320.975,652.396,10.218,44.976,9.837,15.508,2024,Optimal,0.056905795,0.075058841,0.065982318,0.943094205,0.8603632877802639,0.934017682,0.9087669253373367,0.9363900117657884,4,Funding-Rich Underperformers,Funding-Rich Underperformers
24,2024,BCAL,California BanCorp,4031.654,48.545,511.836,3398.76,88.035,13.004,3139.165,226.11,5.433,122.984,4.76,30.619,2024,Optimal,0.073304472,0.089885771,0.0815951215,0.926695528,0.835054694002423,0.9184048785,0.9087669253373367,0.9363900117657884,4,Funding-Rich Underperformers,Funding-Rich Underperformers
27,2024,BCTF,Bancorp 34 Inc,918.095,12.939,86.515,792.567,31.971,5.244,676.092,90.3,1.689,29.298,5.558,4.703,2024,Optimal,0.074063672,0.18578658,0.129925126,0.925936328,0.6866441514290033,0.8700748739999999,0.9087669253373367,0.9363900117657884,4,Funding-Rich Underperformers,Funding-Rich Underperformers
28,2024,BFC,Bank First Corp,4495.06,40.901,639.683,3661.073,148.957,9.128,3517.168,356.46,65.563,137.8,19.646,9.237,2024,Optimal,0.083562768,0.044126343,0.0638445555,0.916437232,0.915477004682756,0.9361554445,0.9087669253373367,0.9363900117657884,4,Funding-Rich Underperformers,Funding-Rich Underperformers
30,2024,BFST,Business First Bancshares Inc,7857.09,103.532,799.466,6511.331,511.578,18.755,5981.399,934.649,65.107,227.383,44.193,30.536,2024,Optimal,0.086718216,0.088034349,0.0873762825,0.913281784,0.8381772614423224,0.9126237175,0.9087669253373367,0.9363900117657884,4,Funding-Rich Underperformers,Funding-Rich Underperformers
32,2024,BHLB,Berkshire Hills Bancorp Inc,12273.408,160.453,1167.424,10375.204,494.971,24.008,9384.994,1183.537,61.003,351.586,48.414,26.727,2024,Optimal,0.06418151,0.035261977,0.0497217435,0.93581849,0.931878156865796,0.9502782565,0.9087669253373367,0.9363900117657884,4,Funding-Rich Underperformers,Funding-Rich Underperformers
41,2024,BNCC,BNCCORP Inc,966.681,15.005,93.667,837.5,16.164,3.384,698.724,131.909,7.928,31.058,5.893,6.308,2024,Optimal,0.079248547,0.14566585,0.1124571985,0.920751453,0.7457097110819878,0.8875428015,0.9087669253373367,0.9363900117657884,4,Funding-Rich Underperformers,Funding-Rich Underperformers
53,2024,BWFG,Bankwell Financial Group Inc,3268.476,23.746,270.52,2787.57,171.498,49.207,2701.966,151.754,9.77,83.282,3.718,61.576,2024,Optimal,0.012295628,0.057786448,0.035041038,0.987704372,0.8907408048018403,0.964958962,0.9087669253373367,0.9363900117657884,4,Funding-Rich Underperformers,Funding-Rich Underperformers
