number,value,datetime_start,datetime_complete,duration,params_base_max_depth,params_base_min_samples_leaf,params_base_min_samples_split,params_max_features,params_max_samples,params_n_estimators,state
35,0.5766889765220902,2026-04-24 00:14:41.662511,2026-04-24 00:14:42.891049,0 days 00:00:01.228538,9,6,4,0.7701706924772613,0.7841700672017831,220,COMPLETE
36,0.5988898814878603,2026-04-24 00:14:42.891049,2026-04-24 00:14:44.799347,0 days 00:00:01.908298,10,1,2,0.9560493466333264,0.5635223931054874,342,COMPLETE
37,0.5811176741209078,2026-04-24 00:14:44.801439,2026-04-24 00:14:45.452599,0 days 00:00:00.651160,15,2,6,0.694006154412492,0.34772265863902824,161,COMPLETE
38,0.5927524148512611,2026-04-24 00:14:45.452599,2026-04-24 00:14:48.169400,0 days 00:00:02.716801,11,2,3,0.8493059213121571,0.47731962229146796,502,COMPLETE
39,0.5539069132571613,2026-04-24 00:14:48.171414,2026-04-24 00:14:50.687347,0 days 00:00:02.515933,13,8,5,0.6369155279803028,0.30724390727836753,701,COMPLETE
40,0.5672066410409624,2026-04-24 00:14:50.688860,2026-04-24 00:14:56.402382,0 days 00:00:05.713522,16,9,15,0.7505519469989461,0.943716811282705,918,COMPLETE
41,0.5998238474538813,2026-04-24 00:14:56.402382,2026-04-24 00:14:58.484102,0 days 00:00:02.081720,12,1,4,0.830962418478207,0.7252207301514791,332,COMPLETE
42,0.6061222830130226,2026-04-24 00:14:58.486615,2026-04-24 00:15:00.029791,0 days 00:00:01.543176,12,1,3,0.8099602850237533,0.7076734200033808,255,COMPLETE
43,0.6064820784291673,2026-04-24 00:15:00.046785,2026-04-24 00:15:02.191332,0 days 00:00:02.144547,14,1,3,0.875547953728558,0.8120641471167603,261,COMPLETE
44,0.6075498895033196,2026-04-24 00:15:02.195077,2026-04-24 00:15:04.621399,0 days 00:00:02.426322,12,1,2,0.8714156478358651,0.8285928597298026,257,COMPLETE
45,0.5880753247818393,2026-04-24 00:15:04.625929,2026-04-24 00:15:05.602210,0 days 00:00:00.976281,10,3,2,0.8754836701637941,0.8287237994019708,103,COMPLETE
46,0.6003298909450457,2026-04-24 00:15:05.605321,2026-04-24 00:15:07.567572,0 days 00:00:01.962251,13,1,3,0.9525722103609585,0.8382023247408228,192,COMPLETE
47,0.5179558614356458,2026-04-24 00:15:07.568107,2026-04-24 00:15:11.402014,0 days 00:00:03.833907,9,2,5,0.31951438720323755,0.9697423876333161,766,COMPLETE
48,0.608333839558105,2026-04-24 00:15:11.404044,2026-04-24 00:15:14.180109,0 days 00:00:02.776065,11,1,2,0.9081218557786177,0.7465950464565639,392,COMPLETE
49,0.6033616400593014,2026-04-24 00:15:14.181618,2026-04-24 00:15:16.699827,0 days 00:00:02.518209,11,1,2,0.9069741411395197,0.7383587195964002,366,COMPLETE
