Metric,Value
Accuracy,0.6156351791530945
Macro Precision,0.6223765519721401
Macro Recall,0.6031153908931994
Macro F1,0.609339089107163
Weighted Precision,0.6185658135073732
Weighted Recall,0.6156351791530945
Weighted F1,0.6147307053562509
Avg AUC,0.8409974514969696
