Metric,Value
Accuracy,0.6644951140065146
Macro Precision,0.6595110703788001
Macro Recall,0.658827609991365
Macro F1,0.6590744891834619
Weighted Precision,0.6643850461910253
Weighted Recall,0.6644951140065146
Weighted F1,0.6643434359053382
Avg AUC,0.8644103433091965
