Feature,Importance
Borrowings,2387
Equity,1875
Investment,1790
NPAs (Previous Period),1679
NPAs,1483
Deposits,1432
Net Income,1249
Non-interest Income,1244
Performing Loans,1192
Employee Expense,1016
Net-interest Income,971
Assets,751
