Metric,Value
Accuracy,0.6221498371335505
Macro Precision,0.6142167627004813
Macro Recall,0.6043633242770792
Macro F1,0.6081084191581304
Weighted Precision,0.6209946748007709
Weighted Recall,0.6221498371335505
Weighted F1,0.6207517512864188
Avg AUC,0.8511751150663746
