Feature,Importance
Borrowings,25.760441107229884
Equity,10.706342831743855
Deposits,10.497168914283169
Investment,10.325504955294967
NPAs (Previous Period),8.663420192353803
NPAs,7.944157326395266
Net Income,5.598696454612192
Non-interest Income,5.428456334601903
Performing Loans,4.927194982707737
Employee Expense,3.7398262024379574
Net-interest Income,3.729208517339487
Assets,2.6795821809997875
