Metric,Value
Accuracy,0.6579804560260586
Macro Precision,0.66091058153094
Macro Recall,0.6494781465217666
Macro F1,0.653713530317818
Weighted Precision,0.6580823102576429
Weighted Recall,0.6579804560260586
Weighted F1,0.6567401813592358
Avg AUC,0.8548377377272647
