Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1,Avg AUC,Rank_Accuracy,Rank_Macro Precision,Rank_Macro Recall,Rank_Macro F1,Rank_Weighted Precision,Rank_Weighted Recall,Rank_Weighted F1,Rank_Avg AUC
AdaBoost Optuna,0.593,0.59,0.586,0.586,0.593,0.593,0.591,0.855,8,8,8,8,8,8,8,2
Bagging Optuna,0.616,0.622,0.603,0.609,0.619,0.616,0.615,0.841,5,6,5,5,5,5,5,8
CatBoost Optuna,0.645,0.637,0.633,0.635,0.644,0.645,0.644,0.855,3,3,4,3,3,3,3,2
Extra Trees Optuna,0.616,0.623,0.601,0.609,0.619,0.616,0.615,0.844,5,5,6,5,5,5,5,7
LightGBM Optuna,0.658,0.661,0.649,0.654,0.658,0.658,0.657,0.855,2,1,2,2,2,2,2,2
Random Forest Optuna,0.603,0.601,0.592,0.596,0.603,0.603,0.602,0.845,7,7,7,7,7,7,7,6
Stacking Classifier,0.593,0.582,0.58,0.58,0.592,0.593,0.591,0.802,8,9,9,9,9,8,8,9
Voting Classifier,0.664,0.66,0.659,0.659,0.664,0.664,0.664,0.864,1,2,1,1,1,1,1,1
XGBoost Optuna,0.642,0.632,0.636,0.634,0.643,0.642,0.642,0.854,4,4,3,4,4,4,4,5
