Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1,Avg AUC
AdaBoost Optuna,0.593,0.59,0.586,0.586,0.593,0.593,0.591,0.855
Bagging Optuna,0.616,0.622,0.603,0.609,0.619,0.616,0.615,0.841
CatBoost Optuna,0.645,0.637,0.633,0.635,0.644,0.645,0.644,0.855
Extra Trees Optuna,0.616,0.623,0.601,0.609,0.619,0.616,0.615,0.844
LightGBM Optuna,0.658,0.661,0.649,0.654,0.658,0.658,0.657,0.855
Random Forest Optuna,0.603,0.601,0.592,0.596,0.603,0.603,0.602,0.845
Stacking Classifier,0.593,0.582,0.58,0.58,0.592,0.593,0.591,0.802
Voting Classifier,0.664,0.66,0.659,0.659,0.664,0.664,0.664,0.864
XGBoost Optuna,0.642,0.632,0.636,0.634,0.643,0.642,0.642,0.854
