Model,Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted Precision,Weighted Recall,Weighted F1,Avg AUC
AdaBoost Optuna,0.5928338762214984,0.5895875591615957,0.5856462321770814,0.5860694645635496,0.5925233397863245,0.5928338762214984,0.5909214698681777,0.8546625762408465
Bagging Optuna,0.6156351791530945,0.6223765519721401,0.6031153908931994,0.609339089107163,0.6185658135073732,0.6156351791530945,0.6147307053562509,0.8409974514969696
CatBoost Optuna,0.6449511400651465,0.6374168795345968,0.6334724679345423,0.6352503826133438,0.644133728542166,0.6449511400651465,0.6443375813751234,0.8549040591331865
Extra Trees Optuna,0.6156351791530945,0.6232747922243759,0.6007354915650471,0.6087050567479546,0.6192467910346593,0.6156351791530945,0.614866182888684,0.8435802259582051
LightGBM Optuna,0.6579804560260586,0.66091058153094,0.6494781465217666,0.653713530317818,0.6580823102576429,0.6579804560260586,0.6567401813592358,0.8548377377272647
Random Forest Optuna,0.6026058631921825,0.6006313131313132,0.592234591204903,0.5956339359565166,0.6027193761721449,0.6026058631921825,0.6019660980678108,0.844608162155218
Stacking Classifier,0.5928338762214984,0.5819518414567361,0.5797312345991028,0.5795660706414266,0.5915051767627216,0.5928338762214984,0.590829913111152,0.8018973888276089
Voting Classifier,0.6644951140065146,0.6595110703788001,0.658827609991365,0.6590744891834619,0.6643850461910253,0.6644951140065146,0.6643434359053382,0.8644103433091965
XGBoost Optuna,0.6416938110749185,0.6322857201952511,0.6359946610223037,0.6336761330040104,0.6431140248399968,0.6416938110749185,0.6420650703217877,0.8544912168087533
