Metric,Value
Accuracy,0.6514657980456026
Macro Precision,0.650653487694772
Macro Recall,0.6413705613824477
Macro F1,0.645077488401843
Weighted Precision,0.6517810479140903
Weighted Recall,0.6514657980456026
Weighted F1,0.6507277644596664
Avg AUC,0.8616760667704402
