Metric,Value
Accuracy,0.5895765472312704
Macro Precision,0.5829522354172587
Macro Recall,0.590548324592995
Macro F1,0.5859929719738344
Weighted Precision,0.5919056617218755
Weighted Recall,0.5895765472312704
Weighted F1,0.5900920870941072
Avg AUC,0.8386161321571601
